"No.","Time","Source","Destination","Protocol","Length","Info"
"92","9.487273","10.42.0.105","224.0.0.251","MDNS","471","Standard query response 0x0000 PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local AAAA, cache flush fe80::341e:55ff:fe77:cc8a PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local A, cache flush 10.42.0.105 PTR 1Muhammad's A55E23B27FF._samsungflownoti._tcp.local SRV, cache flush 0 0 39835 Android_aa22d63ceebf436a968827fd2b8ea579.local TXT, cache flush PTR _samsungflownoti._tcp.local NSEC, cache flush A.8.C.C.7.7.E.F.F.F.5.5.E.1.4.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local NSEC, cache flush 105.0.42.10.in-addr.arpa NSEC, cache flush 1Muhammad's A55E23B27FF._samsungflownoti._tcp.local"
"93","9.490840","fe80::341e:55ff:fe77:cc8a","ff02::fb","MDNS","491","Standard query response 0x0000 PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local AAAA, cache flush fe80::341e:55ff:fe77:cc8a PTR, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local A, cache flush 10.42.0.105 PTR 1Muhammad's A55E23B27FF._samsungflownoti._tcp.local SRV, cache flush 0 0 39835 Android_aa22d63ceebf436a968827fd2b8ea579.local TXT, cache flush PTR _samsungflownoti._tcp.local NSEC, cache flush A.8.C.C.7.7.E.F.F.F.5.5.E.1.4.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_aa22d63ceebf436a968827fd2b8ea579.local NSEC, cache flush 105.0.42.10.in-addr.arpa NSEC, cache flush 1Muhammad's A55E23B27FF._samsungflownoti._tcp.local"
"94","9.506413","3.217.132.36","10.42.0.21","TLSv1.2","1180","Certificate"
"95","9.506420","3.217.132.36","10.42.0.21","TLSv1.2","401","Server Key Exchange, Server Hello Done"
"96","9.574002","10.42.0.105","10.42.0.1","DNS","74","Standard query 0x745d A www.google.com"
"97","9.574071","10.42.0.1","10.42.0.105","DNS","170","Standard query response 0x745d A www.google.com A 108.177.15.103 A 108.177.15.104 A 108.177.15.99 A 108.177.15.105 A 108.177.15.106 A 108.177.15.147"
"98","9.619565","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=143 Ack=5207 Win=3400 Len=0"
"99","9.863608","10.42.0.21","3.217.132.36","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"100","9.863730","10.42.0.21","3.217.132.36","TCP","54","[TCP Dup ACK 99#1] 56462  >  443 [ACK] Seq=269 Ack=5554 Win=3400 Len=0"
"101","9.953657","3.217.132.36","10.42.0.21","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"102","9.958224","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=269 Ack=5605 Win=3400 Len=0"
"103","10.013115","10.42.0.21","3.217.132.36","TLSv1.2","600","Application Data"
"104","10.111391","3.217.132.36","10.42.0.21","TLSv1.2","1279","Application Data"
"105","10.111398","3.217.132.36","10.42.0.21","TLSv1.2","88","Application Data"
"106","10.122373","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=815 Ack=6830 Win=3400 Len=0"
"107","10.122898","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=815 Ack=6864 Win=3400 Len=0"
"108","10.161037","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"109","10.161063","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"110","10.161178","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [FIN, ACK] Seq=815 Ack=6864 Win=3400 Len=0"
"111","10.251212","3.217.132.36","10.42.0.21","TCP","54","443  >  56462 [ACK] Seq=6864 Ack=816 Win=65535 Len=0"
"112","10.251239","3.217.132.36","10.42.0.21","TCP","54","443  >  56462 [FIN, ACK] Seq=6864 Ack=816 Win=65535 Len=0"
"113","10.256535","10.42.0.21","3.217.132.36","TCP","54","56462  >  443 [ACK] Seq=816 Ack=6865 Win=3399 Len=0"
"114","11.168079","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"115","11.168115","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"116","12.158236","10.42.0.105","10.42.0.21","TCP","74","54754  >  9999 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=347541368 TSecr=0 WS=1024"
"117","12.158288","10.42.0.21","10.42.0.105","TCP","58","9999  >  54754 [SYN, ACK] Seq=0 Ack=1 Win=1452 Len=0 MSS=1452"
"118","12.158735","10.42.0.105","10.42.0.21","TCP","54","54754  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"119","12.158830","10.42.0.105","10.42.0.21","TPLINK-SMARTHOME/JSON","160","TCP Cmd: {""context"":{""source"":""46a4d58b-6279-432c-ae23-e115c2db8354""},""system"":{""set_relay_state"":{""state"":0}}}"
"120","12.159270","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54754 [ACK] Seq=1 Ack=1 Win=2904 Len=0"
"121","12.159725","10.42.0.21","10.42.0.105","TCP","54","9999  >  54754 [ACK] Seq=1 Ack=107 Win=2420 Len=0"
"122","12.178138","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"123","12.178169","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"124","12.183824","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54754 [ACK] Seq=1 Ack=107 Win=2904 Len=0"
"125","12.185551","10.42.0.21","10.42.0.105","TPLINK-SMARTHOME/JSON","103","TCP Rsp: {""system"":{""set_relay_state"":{""err_code"":0}}}"
"126","12.191316","10.42.0.105","10.42.0.21","TCP","54","54754  >  9999 [ACK] Seq=107 Ack=50 Win=65535 Len=0"
"127","12.191444","10.42.0.105","10.42.0.21","TCP","54","54754  >  9999 [FIN, ACK] Seq=107 Ack=50 Win=65535 Len=0"
"128","12.192070","10.42.0.21","10.42.0.105","TCP","54","[TCP Dup ACK 121#1] 9999  >  54754 [ACK] Seq=50 Ack=107 Win=2904 Len=0"
"129","12.193038","10.42.0.21","10.42.0.105","TCP","54","9999  >  54754 [ACK] Seq=50 Ack=108 Win=2420 Len=0"
"130","12.270303","10.42.0.21","3.217.132.36","TCP","58","56463  >  443 [SYN] Seq=0 Win=1452 Len=0 MSS=1452"
"131","12.333057","10.42.0.21","10.42.0.105","TCP","54","9999  >  54754 [FIN, ACK] Seq=50 Ack=108 Win=2904 Len=0"
"132","12.333079","10.42.0.105","10.42.0.21","TCP","54","54754  >  9999 [ACK] Seq=108 Ack=51 Win=65535 Len=0"
"133","12.362399","3.217.132.36","10.42.0.21","TCP","58","443  >  56463 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1360"
"134","12.363048","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=1 Ack=1 Win=2720 Len=0"
"135","12.477676","10.42.0.21","3.217.132.36","TLSv1.2","196","Client Hello"
"136","12.573984","3.217.132.36","10.42.0.21","TLSv1.2","1414","Server Hello"
"137","12.574084","3.217.132.36","10.42.0.21","TCP","1414","[TCP Window Full] 443  >  56463 [ACK] Seq=1361 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"138","12.578220","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=143 Ack=1361 Win=2266 Len=0"
"139","12.578479","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=143 Ack=2721 Win=2266 Len=0"
"140","12.669009","3.217.132.36","10.42.0.21","TCP","1414","443  >  56463 [ACK] Seq=2721 Ack=143 Win=65535 Len=1360 [TCP segment of a reassembled PDU]"
"141","12.672904","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=143 Ack=4081 Win=2266 Len=0"
"142","12.763907","3.217.132.36","10.42.0.21","TLSv1.2","1180","Certificate"
"143","12.763912","3.217.132.36","10.42.0.21","TLSv1.2","401","Server Key Exchange, Server Hello Done"
"144","12.879275","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=143 Ack=5207 Win=2266 Len=0"
"145","13.126888","10.42.0.21","3.217.132.36","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"146","13.126940","10.42.0.21","3.217.132.36","TCP","54","[TCP Dup ACK 145#1] 56463  >  443 [ACK] Seq=269 Ack=5554 Win=2266 Len=0"
"147","13.182428","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"148","13.182459","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"149","13.217351","3.217.132.36","10.42.0.21","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"150","13.222988","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=269 Ack=5605 Win=2266 Len=0"
"151","13.276912","10.42.0.21","3.217.132.36","TLSv1.2","601","Application Data"
"152","13.376456","3.217.132.36","10.42.0.21","TLSv1.2","1280","Application Data"
"153","13.376469","3.217.132.36","10.42.0.21","TLSv1.2","88","Application Data"
"154","13.392077","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=816 Ack=6831 Win=2266 Len=0"
"155","13.392588","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=816 Ack=6865 Win=2266 Len=0"
"156","13.423834","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [FIN, ACK] Seq=816 Ack=6865 Win=2266 Len=0"
"157","13.516073","3.217.132.36","10.42.0.21","TCP","54","443  >  56463 [ACK] Seq=6865 Ack=817 Win=65535 Len=0"
"158","13.516083","3.217.132.36","10.42.0.21","TCP","54","443  >  56463 [FIN, ACK] Seq=6865 Ack=817 Win=65535 Len=0"
"159","13.519909","10.42.0.21","3.217.132.36","TCP","54","56463  >  443 [ACK] Seq=817 Ack=6866 Win=2265 Len=0"
"160","14.156463","10.42.0.105","10.42.0.21","TCP","74","54768  >  9999 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=347543366 TSecr=0 WS=1024"
"161","14.156488","10.42.0.21","10.42.0.105","TCP","58","9999  >  54768 [SYN, ACK] Seq=0 Ack=1 Win=1452 Len=0 MSS=1452"
"162","14.156597","10.42.0.105","10.42.0.21","TCP","54","54768  >  9999 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"163","14.156598","10.42.0.105","10.42.0.21","TPLINK-SMARTHOME/JSON","160","TCP Cmd: {""context"":{""source"":""46a4d58b-6279-432c-ae23-e115c2db8354""},""system"":{""set_relay_state"":{""state"":1}}}"
"164","14.156838","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54768 [ACK] Seq=1 Ack=1 Win=2904 Len=0"
"165","14.157336","10.42.0.21","10.42.0.105","TCP","54","9999  >  54768 [ACK] Seq=1 Ack=107 Win=2420 Len=0"
"166","14.201378","::","ff02::1:ff7d:838c","ICMPv6","78","Neighbor Solicitation for fe80::c0a7:bb78:7d7d:838c"
"167","14.201410","fe80::c0a7:bb78:7d7d:838c","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::c0a7:bb78:7d7d:838c (rtr, ovr) is at 2c:cf:67:1c:40:40"
"168","14.272557","36:1e:55:77:cc:8a","Raspberr_1c:40:40","ARP","42","Who has 10.42.0.1? Tell 10.42.0.105"
"169","14.272569","Raspberr_1c:40:40","36:1e:55:77:cc:8a","ARP","42","10.42.0.1 is at 2c:cf:67:1c:40:40"
"170","14.290547","10.42.0.21","10.42.0.105","TCP","54","[TCP Window Update] 9999  >  54768 [ACK] Seq=1 Ack=107 Win=2904 Len=0"
"171","14.292699","10.42.0.21","10.42.0.105","TPLINK-SMARTHOME/JSON","103","TCP Rsp: {""system"":{""set_relay_state"":{""err_code"":0}}}"
"172","14.294280","10.42.0.105","10.42.0.21","TCP","54","54768  >  9999 [ACK] Seq=107 Ack=50 Win=65535 Len=0"
"173","14.294844","10.42.0.21","10.42.0.105","TCP","54","[TCP Dup ACK 165#1] 9999  >  54768 [ACK] Seq=50 Ack=107 Win=2904 Len=0"
